model_id,resolved,resolution_status,author,base_models,license,gated,downloads,likes,created_at,last_modified,pipeline_tag,provider,provider_basis,model_family
sentence-transformers/all-mpnet-base-v2,True,200,sentence-transformers,,apache-2.0,False,24592338.0,1345.0,2022-03-02T23:29:05.000Z,2025-08-19T10:14:25.000Z,sentence-similarity,namespace:sentence-transformers,unmapped_public_namespace,all
shahzaib41202/ai-ml-tutor-v1,True,200,shahzaib41202,lmsys/vicuna-7b-v1.1;TheBloke/vicuna-7B-1.1-HF,missing,auto,0.0,0.0,2025-11-30T16:08:15.000Z,2025-11-30T16:11:36.000Z,text-generation,namespace:shahzaib41202,unmapped_public_namespace,vicuna
speakleash/Bielik-7B-Instruct-v0.1-GGUF,True,200,speakleash,,cc-by-nc-4.0,False,2784.0,15.0,2024-04-03T13:00:00.000Z,2024-04-07T19:43:23.000Z,text-generation,namespace:speakleash,unmapped_public_namespace,Bielik
sshleifer/distilbart-cnn-12-6,True,200,sshleifer,,apache-2.0,False,849452.0,324.0,2022-03-02T23:29:05.000Z,2021-06-14T07:51:12.000Z,summarization,namespace:sshleifer,unmapped_public_namespace,distilbart
TheBloke/TinyLlama-1.1B-Chat-v1.0-GGUF,True,200,TheBloke,TinyLlama/TinyLlama-1.1B-Chat-v1.0,apache-2.0,False,86452.0,234.0,2023-12-31T20:53:43.000Z,2023-12-31T21:29:33.000Z,,namespace:TheBloke,unmapped_public_namespace,TinyLlama
TheBloke/vicuna-7B-1.1-HF,True,200,lmsys,,missing,False,990.0,77.0,2023-04-12T21:43:30.000Z,2023-08-01T18:26:25.000Z,text-generation,namespace:TheBloke,unmapped_public_namespace,vicuna
tiiuae/falcon-7b-instruct,True,200,tiiuae,,apache-2.0,False,31700.0,1032.0,2023-04-25T06:21:01.000Z,2024-10-12T13:20:03.000Z,text-generation,TII,model_namespace,Falcon
TinyLlama/TinyLlama-1.1B-Chat-v1.0,True,200,TinyLlama,,apache-2.0,False,1959379.0,1755.0,2023-12-30T06:27:30.000Z,2024-03-17T05:07:08.000Z,text-generation,namespace:TinyLlama,unmapped_public_namespace,TinyLlama
togethercomputer/GPT-NeoXT-Chat-Base-20B,True,200,togethercomputer,,apache-2.0,False,162.0,694.0,2023-03-03T00:24:29.000Z,2023-03-30T21:00:24.000Z,text-generation,namespace:togethercomputer,unmapped_public_namespace,GPT
towardsai-tutors/ai-tutor-vector-db,False,401,,,missing,,,,,,,namespace:towardsai-tutors,unmapped_public_namespace,ai
valhalla/t5-base-e2e-qg,True,200,valhalla,,mit,False,6671.0,30.0,2022-03-02T23:29:05.000Z,2021-06-23T14:40:07.000Z,,namespace:valhalla,unmapped_public_namespace,T5/FLAN-T5
valhalla/t5-base-qg-hl,True,200,valhalla,,mit,False,2955.0,12.0,2022-03-02T23:29:05.000Z,2021-06-23T14:40:47.000Z,,namespace:valhalla,unmapped_public_namespace,T5/FLAN-T5
valhalla/t5-small-e2e-qg,True,200,valhalla,,mit,False,1668.0,7.0,2022-03-02T23:29:05.000Z,2021-07-30T13:10:33.000Z,,namespace:valhalla,unmapped_public_namespace,T5/FLAN-T5
valhalla/t5-small-qg-prepend,True,200,valhalla,,missing,False,68.0,1.0,2022-03-02T23:29:05.000Z,2020-07-06T17:20:20.000Z,,namespace:valhalla,unmapped_public_namespace,T5/FLAN-T5
vivicake666/qwen3-math-nano-sat,True,200,vivicake666,unsloth/qwen3-1.7b-unsloth-bnb-4bit,apache-2.0,False,7.0,0.0,2026-05-31T23:55:37.000Z,2026-05-31T23:57:57.000Z,text-generation,namespace:vivicake666,unmapped_public_namespace,Qwen
